Element,Node,Fx[N],My[N.m],Mz[N.m]
624,667,5.08E+00,5.28E+03,0.0660157
625,675,8.05E+01,7.64E+03,-0.062188
625,676,8.05E+01,4.76E+03,0.0599443
626,676,5.74E+01,-7.74E+03,0.0599104
626,677,5.74E+01,-9.51E+03,4.26E-03
627,677,4.02E+01,-1.73E+04,4.27E-03
627,678,4.02E+01,-1.85E+04,0.0104309
628,678,2.67E+01,-2.34E+04,0.0104334
628,667,2.67E+01,-2.40E+04,2.18E-03
629,658,6.77E+00,-401.798,0.199156
629,683,6.77E+00,-3.44E+03,-0.156227
630,683,-1.27E+01,-1.09E+04,-0.156136
630,684,-1.27E+01,-1.16E+04,0.0514283
631,684,-1.17E+01,-9.50E+03,0.0514318
631,685,-1.17E+01,-7.18E+03,-0.166794
632,685,6.89E+00,3.30E+03,-0.166898
632,675,6.89E+00,7.10E+03,0.254875
649,699,1.81E+00,8.59E+03,0.463669
649,700,1.81E+00,6.30E+03,-0.254506
650,700,8.69249,459.982,-0.254448
650,701,8.69E+00,-1.42E+03,6.58E-04
651,701,1.62E+01,-5.97E+03,6.42E-04
651,702,1.62E+01,-7.44E+03,-0.0357293
652,702,2.48E+01,-1.06E+04,-0.0357448
652,659,2.48E+01,-1.16E+04,0.0383426
653,699,2.10E+01,-2.28E+03,0.11359
653,708,2.10E+01,-5.76E+03,-0.0895819
654,708,7.74E+00,-1.76E+04,-0.0894933
654,709,7.74E+00,-1.80E+04,0.0445459
655,709,4.81E+00,-1.42E+04,0.0445764
655,710,4.81E+00,-1.25E+04,-0.139654
656,710,-6.66E+00,7.02E+03,-0.139836
656,707,-6.66E+00,1.15E+04,0.228364
657,667,1.49E+01,-2.28E+04,0.0150865
657,715,1.49E+01,-2.16E+04,0.0110917
658,715,2.73E+00,-1.42E+04,0.0111004
658,716,2.73E+00,-1.24E+04,-6.22E-03
659,716,-1.25E+01,-1.82E+03,-6.23E-03
659,717,-1.25E+01,543.504,0.127716
660,717,-3.38E+01,1.56E+04,0.127794
660,707,-3.38E+01,1.90E+04,-0.284435
677,699,8.59E+01,9.62E+03,-0.577092
677,732,8.59E+01,7.48E+03,0.215137
678,732,7.06E+01,1.98E+03,0.215055
678,733,70.5781,262.784,-0.0146679
679,733,6.17E+01,-3.98E+03,-0.014662
679,734,6.17E+01,-5.31E+03,0.0330436
680,734,5.75E+01,-8.30E+03,0.0330409
680,731,5.75E+01,-9.16E+03,3.54E-03
681,731,-1.66E+00,-5.87E+03,3.79E-15
681,740,-1.66E+00,-7.68E+03,-6.14E-14
682,740,7.22E+00,-1.48E+04,-6.14E-14
682,741,7.22E+00,-1.52E+04,-2.84E-14
683,741,9.21E+00,-1.09E+04,-2.85E-14
683,742,9.21E+00,-9.17E+03,-3.56E-14
684,742,2.52E+00,3.76E+03,-3.58E-14
684,739,2.52E+00,5.90E+03,1.18E-13
685,707,1.05E+02,2.09E+04,-0.279542
685,747,1.05E+02,1.77E+04,0.126467
686,747,8.56E+01,3.53E+03,0.126395
686,748,8.56E+01,1.36E+03,-5.84E-03
687,748,7.46E+01,-8.24E+03,-5.83E-03
687,749,7.46E+01,-9.84E+03,0.0124144
688,749,6.94E+01,-1.63E+04,0.0124118
688,739,6.94E+01,-1.72E+04,8.24E-03
705,763,8.59E+01,9.62E+03,0.577092
705,764,8.59E+01,7.48E+03,-0.215137
706,764,7.06E+01,1.98E+03,-0.215055
706,765,7.06E+01,262.784,0.0146679
707,765,6.17E+01,-3.98E+03,0.014662
