Element,Node,Fx[N],Mx[N.m],My[N.m],Mz[N.m]
472,506,24.4827,2.4195,-1.15E+04,0.715495
473,514,1.38E+03,-13.0369,6.55E+03,5.51677
473,515,1.38E+03,-13.0369,2.23E+03,-3.35182
474,515,1.00E+03,-2.79267,-9.39E+03,-3.35042
474,516,1.00E+03,-2.79267,-1.25E+04,0.214014
475,516,741.937,-4.35304,-2.08E+04,0.213996
475,517,741.937,-4.35304,-2.29E+04,-0.343207
476,517,562.699,-2.01846,-2.80E+04,-0.342942
476,506,562.699,-2.01846,-2.91E+04,-0.731662
477,514,626.509,5.13131,-3.78E+03,-5.51407
477,522,626.509,5.13131,-1.06E+04,2.99536
478,522,57.0657,1.96551,-2.60E+04,2.99294
478,523,57.0657,1.96551,-2.73E+04,-1.1675
479,523,2.89587,1.81186,-2.16E+04,-1.16784
479,524,2.89587,1.81186,-1.60E+04,3.68616
480,524,448.028,-0.85362,9.50E+03,3.68865
480,362,448.028,-0.85362,1.93E+04,-6.23622
497,386,243.953,-0.302525,2.91E+04,0.202302
497,539,243.953,-0.302525,1.86E+04,-0.0828823
498,539,235.811,-0.349431,-2.69E+04,-0.0826516
498,540,235.811,-0.349431,-3.10E+04,-0.0289369
499,540,296.53,-0.0917775,-4.05E+04,-0.0289389
499,541,296.53,-0.0917775,-3.97E+04,-0.105304
500,541,769.28,0.225116,-1.59E+04,-0.105626
500,538,769.28,0.225116,-8.91E+03,0.264709
501,506,454.117,-6.5883,-2.75E+04,-0.0159796
501,546,454.117,-6.5883,-2.48E+04,-0.906031
502,546,412.191,-3.73863,-1.64E+04,-0.905963
502,547,412.191,-3.73863,-1.26E+04,0.21323
503,547,439.562,-4.7835,-939.636,0.213557
503,548,439.562,-4.7835,3.88E+03,-7.51093
504,548,562.916,4.10884,1.89E+04,-7.51317
504,538,562.916,4.10884,2.48E+04,16.6626
521,410,169.466,-6.59E-12,1.58E+04,2.48E-13
521,563,169.466,-6.59E-12,1.08E+04,-7.10E-14
522,563,170.529,-5.58E-12,-1.92E+04,-7.15E-14
522,564,170.529,-5.58E-12,-2.32E+04,-5.39E-14
523,564,104.015,2.37E-12,-3.41E+04,-5.60E-14
523,565,104.015,2.37E-12,-3.34E+04,-1.67E-13
524,565,6.26023,1.12E-11,-1.75E+04,-1.67E-13
524,562,6.26023,1.12E-11,-1.34E+04,5.43E-14
525,538,622.323,-5.28873,2.58E+04,16.9276
525,570,622.323,-5.28873,2.06E+04,-7.52192
526,570,427.388,3.29065,7.34E+03,-7.51954
526,571,427.388,3.29065,3.20E+03,0.179078
527,571,324.734,1.50788,-6.82E+03,0.178828
527,572,324.734,1.50788,-9.96E+03,-0.931598
528,572,280.346,3.53753,-1.70E+04,-0.931477
528,562,280.346,3.53753,-1.90E+04,-0.490264
545,434,243.953,0.302525,2.91E+04,-0.202302
545,587,243.953,0.302525,1.86E+04,0.0828823
546,587,235.811,0.349431,-2.69E+04,0.0826516
546,588,235.811,0.349431,-3.10E+04,0.0289369
547,588,296.53,0.0917775,-4.05E+04,0.0289389
547,589,296.53,0.0917775,-3.97E+04,0.105304
548,589,769.28,-0.225116,-1.59E+04,0.105626
548,586,769.28,-0.225116,-8.91E+03,-0.264709
549,562,280.346,-3.53753,-1.90E+04,-0.490264
549,594,280.346,-3.53753,-1.70E+04,-0.931477
550,594,324.734,-1.50788,-9.96E+03,-0.931598
550,595,324.734,-1.50788,-6.82E+03,0.178828
551,595,427.388,-3.29065,3.20E+03,0.179078
551,596,427.388,-3.29065,7.34E+03,-7.51954
552,596,622.323,5.28873,2.06E+04,-7.52192
552,586,622.323,5.28873,2.58E+04,16.9276
569,458,117.363,1.12978,1.35E+04,-0.740247
569,611,117.363,1.12978,9.09E+03,0.219163
570,611,221.942,1.33017,-1.75E+04,0.218117
570,612,221.942,1.33017,-2.10E+04,0.263698
571,612,179.639,-0.696032,-3.02E+04,0.263613
571,613,179.639,-0.696032,-2.94E+04,0.25955
572,613,24.4827,-2.4195,-1.52E+04,0.26051
572,610,24.4827,-2.4195,-1.15E+04,-0.715495
573,586,562.916,-4.10884,2.48E+04,16.6626
573,618,562.916,-4.10884,1.89E+04,-7.51317
574,618,439.562,4.7835,3.88E+03,-7.51093
574,619,439.562,4.7835,-939.636,0.213557
575,619,412.191,3.73863,-1.26E+04,0.21323
575,620,412.191,3.73863,-1.64E+04,-0.905963
576,620,454.117,6.5883,-2.48E+04,-0.906031
576,610,454.117,6.5883,-2.75E+04,-0.0159796
593,482,448.028,0.85362,1.93E+04,-6.23622
593,635,448.028,0.85362,9.50E+03,3.68865
594,635,2.89587,-1.81186,-1.60E+04,3.68616
594,636,2.89587,-1.81186,-2.16E+04,-1.16784
595,636,57.0657,-1.96551,-2.73E+04,-1.1675
595,637,57.0657,-1.96551,-2.60E+04,2.99294
596,637,626.509,-5.13131,-1.06E+04,2.99536
596,634,626.509,-5.13131,-3.78E+03,-5.51407
597,610,562.699,2.01846,-2.91E+04,-0.731662
597,642,562.699,2.01846,-2.80E+04,-0.342942
598,642,741.937,4.35304,-2.29E+04,-0.343207
598,643,741.937,4.35304,-2.08E+04,0.213996
599,643,1.00E+03,2.79267,-1.25E+04,0.214014
599,644,1.00E+03,2.79267,-9.39E+03,-3.35042
600,644,1.38E+03,13.0369,2.23E+03,-3.35182
600,634,1.38E+03,13.0369,6.55E+03,5.51677
617,658,180.156,17.3083,1.23E+04,-0.447275
617,660,180.156,17.3083,7.59E+03,0.0346474
618,660,138.849,4.26908,-5.33E+03,0.0345835
618,661,138.849,4.26908,-8.79E+03,-0.0732445
619,661,105.971,5.08015,-1.81E+04,-0.0732473
619,662,105.971,5.08015,-2.06E+04,-0.0212615
620,662,79.0327,2.23039,-2.67E+04,-0.0212988
620,659,79.0327,2.23039,-2.80E+04,0.0607601
621,659,-3.05609,-2.46701,-1.14E+04,0.149575
621,668,-3.05609,-2.46701,-1.50E+04,-0.0579442
622,668,6.23114,-0.99943,-2.94E+04,-0.0577484
622,669,6.23114,-0.99943,-3.02E+04,-0.049411
623,669,11.1891,0.753587,-2.18E+04,-0.0494294
623,670,11.1891,0.753587,-1.84E+04,-0.0471764
624,670,11.4178,0.755667,7.56E+03,-0.0473832
624,667,11.4178,0.755667,1.19E+04,0.146138
625,675,176.251,0.123033,1.71E+04,-0.142354
625,676,176.251,0.123033,1.06E+04,0.137997
626,676,125.68,-1.14429,-1.77E+04,0.137919
626,677,125.68,-1.14429,-2.17E+04,9.66E-03
627,677,87.8212,0.126285,-3.94E+04,9.67E-03
627,678,87.8212,0.126285,-4.22E+04,0.0238243
628,678,58.0804,-0.116574,-5.32E+04,0.0238299
628,667,58.0804,-0.116574,-5.47E+04,4.32E-03
629,658,14.8781,-7.05439,-811.786,0.449628
629,683,14.8781,-7.05439,-8.01E+03,-0.353262
630,683,-29.1005,-2.02052,-2.51E+04,-0.353056
630,684,-29.1005,-2.02052,-2.67E+04,0.114063
631,684,-26.7991,-1.45093,-2.19E+04,0.114068
